name,suburb,category,description,address
The Elite Barbershop,Fyshwick,Retail,"Family owned and operated small business, locally owned with a commitment to making our customers look and feel the best!

",9/64 Wollongong Street
Brodburger,Kingston,Food and drinks,Using local beef to make Canberra’s favourite burger.,11 Wentworth Avenue Kingston
TG-ONE Groceries,Braddon,Food and drinks,Community convenience grocery store inherits the spirit of good quality and good service purpose to bring better service to the surrounding residents,G10/45 Ainslie Avenue
Pilates with Dan,Belconnen,Things to do,Personalised Pilates lessons for everybody and every body!,"Unit 11, 23-35 Lathlain Street"
canberra cafe and restaurant,Greenway,Food and drinks,"we have outdoor dining area, homemade cooking, friendly staff, best pizza , best burgers, pet friendly,casual dining, good place for coffee and catch up",12/150-180 soward way greenway
Ming's Pantry Malaysian Street Food,Canberra,Food and drinks,At Ming's Pantry we offer Canberra's tastiest Malaysian food and Asian inspired dishes! If you want to try some authentic and delicious Malay food come to Ming's Pantry.,"G22, 45 West Row"
Wukong Hotpot & Super Emoji,Dickson,Food and drinks,"Hot Pot is the most primitive way to cook that human had first learned to use tools. We still remember that and make it even better.
Wukong Hotpot provide not only the traditional spicy Chongqin broth, but also some really innovative soup base which are popular among all kind of customers.","G5/6 Cape Street, Dickson, ACT 2602"
Soul Origin Canberra Centre and Belconnen,Canberra,Food and drinks,"Soul Origin offers a wide range of delicious, wholesome breakfast, lunch and scrumptious salad options with exceptional quality of coffee including ice drinks. Everything is made fresh daily in-store.","Shop EG16 canberra centre, 148 Bunda St"
Lilly Cooper,Manuka,Retail,"Lilly Cooper offers a wide range of unique, quirky and desirable homewares, cards, books, jewellery, fashion accessories and garden wear. Located in the heart of Manuka.","Shop 11, Stye Arcade, 14-16 Franklin Street"
Diem Ngoc Le,Dickson,Personal care,"Le’s Tailoring & Alteration is an excellent, on time, and professional tailor in Dickson. Quality tailoring and alterations with cheap price.
",11/5 Badham street
UC Supermarket,Bruce,Food and drinks,Combination with Asian and Australian food & drinks.,"Shop 8 & 9 Pantowora Street, University of Canberra"
Dumpling Social,Phillip,Food and drinks,Beautiful fusion restaurant with authentic Asian flavors and enticing drink menu.,9 Bradley street
Tackle World Canberra,Fyshwick,Retail,Best Fishing Tackle Retail in the ACT.,130 Gladstone Street
O2 Hair,Canberra,Personal care,"O2 Hair estalisted on 2009, more than 10+years expericen. Offers a variety of services for men and women, including professional hair cutting and styling, coloring, foils, straightening and perm.",7/35 Childers Street
MK Butcher,Dickson,Retail,New butcher shop located in Dickson. Fresh meat with good price.,235/6 CAPE ST
Forrest Hotel and Apartments,Canberra,Accommodation,"Forrest Hotel and Apartments is located minutes from Manuka village and close to Parliament House.
We have 40 serviced Apartments with a lovely landscaped courtyard and B-B-Q area, 76 Hotel rooms, a conference facility overlooking parkland.
""We look forward to welcoming you to Forrest soon. """,30 NATIONAL CIRCUIT FORREST
Dollar Pop,Belconnen,Retail,"You'll find at Dollar Pop include housewares, kitchen, cleaning, laundry, hardware, glass jar, souvenir, picture frame, canvas, storage, travel, health and beauty, toys, gift bags, party, stationery, craft supplies, seasonal décor, and so much more. Everything you need for every day!",Shop 151-154 westfifeld belconnen ACT 2617
Two sisters Lao Thai cuisine,Dickson,Food and drinks,"Two Sisters have been cooking and serving delicious cuisines of Laos and Thailand for many years. With our nice authentic atmosphere, friendly staff and superb cuisine, The Two Sisters is a great place to enjoy the best of Lao and Thai food!",5/38 Woolley street
Lollipop's Playland and Cafe Canberra,Canberra Airport,Things to do,"Lollipops Playland is the coolest place in Canberra to host a children's party! Boasting natural light, barista made coffee, unlimited free teacup rides, brand new toddler play area and newly renovated facilities, Lollipop's is the best private events and best kids birthday party venue.","Shop 95, Majura Park Shopping Center, 18 Spitfire Way"
Yowani Golf Shop,Lyneham,Retail,"The Yowani Golf Shop is a locally owned and operated business. We stock the leading brands such as Taylor Made, Callaway, Ping and Titleist and specialise in custom club fitting with our state of the art fitting centre.",455 Northbourne Ave
MOMENTO DEZIGNS / FROCKAHOLICS,Manuka,Retail,"Canberra's most loved fashion boutique, Momento Dezigns offers a selection of global and local designer labels - Visit our boutique Momento Dezigns Manuka - Canberra + be styled head to toe!","Shop 4, Manuka Court,17 Bougainville Street"
Escape Rooms Canberra,Phillip,Things to do,"Escape Rooms Canberra is CBR's favourite Escape Room destination. With 2 exciting rooms and a speakeasy bar out the back, where else would you rather escape to?",2/22 Dundas Court
Book Passion,Belconnen,Retail,"Book Passion is a privately-owned independent bookshop in Canberra, owned and operated by local residents. We stock an eclectic mix of unique books including new releases, children's books, puzzles and books relevant to the specific interest to our local Canberra community.
Come visit us today!",36/10 Lathlain Street
CC Beauty Centre,Weston,Personal care,Beauty and skincare services.,Shop 54 upper level Cooleman Court Shopping Centre
Greenaway Studio,Chapman,Retail,Classical and jazz music: from tuition to sheet music to audio (CDs etc.). Opening hours by appointment.,164 Namatjira Drive
Hawka Thai Massage Centre,Hawker,Personal care,"Hawka Thai Massage is like your own personal haven for peace and relaxation. Whether it's pampering or remedial massage, our therapists are dedicated to your wellbeing.",shop 1 72-74 Hawker Place
Subway Weston,Weston,Food and drinks,Fast Food outlet offering Delicious Subs.,"Unit 18, 41 Liardet Street"
Propaganda bistro,Wanniassa,Food and drinks,Propaganda bistro is a family own offer authentic Vietnamese cuisine.,4/33 gartside street
11:11 Health and Wellbeing,Wright,Personal care,"Our purpose is to help individuals find health, happiness and success by offering personal services of Personal Training, Yoga and Life Coaching. We partner with our clients to work towards their goals, providing supportive and tailored services",9 Philip Hodgins St
Terra,City,Food and drinks,"Smoked meats, Big steaks, salads, sides","Shop G2 no name lane, 40 marcus clarke st"
Oritea Dickson Pty Ltd,Dickson,Food and drinks,Oritea Dickson is a milk tea shop.,"Unit 232, 8 Cape Street"
little sandpiper,Belconnen,Things to do,Kids Playcentre|Kids Party|Kids Cafe| Exclusive Venue Hire|Electronic Games|Workshop. Little Sandpiper is Canberra’s newest indoor-play center. The play center’s unique design has incorporated a distinctly local twist replicating some of the most beautiful parts of Canberra.,"MM3 Westfield Belconnen, 18 Benjamin Way, Belconnen ACT 2617"
Subway Belconnen Westfield,Belconnen,Food and drinks,"Did you know our fresh vegetables are sliced daily in-restaurant? With locally-sourced vegetables, premium-quality meats and bread baked daily, we stand for fresh.","Shop 192, Westfield Belconnen, Benjamin Way"
Flow Yoga Canberra,Fyshwick,Personal care,"Join us at our beautiful new Flow Yoga studio at Dairy Road for slow flow, dynamic flow, yin yoga and restorative yoga classes. Our classes are suitable for beginners, intermediate and advanced yogis. We also offer kids yoga, baby yoga, private classes, workshops, retreats, massage and studio hire.","Studio 9, Building 3, 1 Dairy Road"
Zumba with Naomi,Macgregor,Things to do,"Zumba is a fun dance-inspired fitness class for every body and every queen. My classes are designed to give you a high-intensity interval-like workout with cardio and strength endurance training, while having fun! My hope is that you leave feeling confident, empowered, sassy, and strong.
",24 Marcus Faunce St
Donut King Canberra DFO,Fyshwick,Food and drinks,Treat yourself with sweet.,"Shop F312, Canberra Outlet Centre, 337 Canberra Ave"
Stripey Sundae,Nicholls,Food and drinks,"Stripey Sundae is a family own and run ice creamery located at in Ginninderra Village, Gold Creek.
We hand make all our ice creams on site (cones too!), make coffee, have a large range of vegan /dairy free choices, and boardgames to play.","11 O'Hanlon Place, Ginninderra Village"
Freshii,Canberra,Food and drinks,"Freshii is a Canadian fast casual restaurant franchise that serves healthy burritos, wraps, soups, salads, and frozen yogurt. We also do coffee, cakes and other deli grab and go food items.","Shop 189/260 Highgate, City Walk"
The Duxton O'Connor,O'Connor,Food and drinks,"Bursting with rustic character, The Duxton is your local institute to bring any occasion to life.",Shop 5/1 Sargood Street
The coffee club Canberra Outlet Centre,Fyshwick,Food and drinks,Great service excellent coffee and good food,T530 337 Canberra avenue
mini golf federation square,Nicholls,Things to do,mini golf federation square Canberra's newest professional built mini golf course.,shop 5a 18 o'hanlon place
AuLac Woden Vegan Cuisine,Phillip,Food and drinks,"Authentic Vietnamese Cuisine- Vegetarian Catering Specialist.
At Au Lac we pride ourselves on our delicious and innovative dishes that are freshly made with very nutritious ingredients which are extremely good for you & your family’s health.",Westfield Woden Shop 1/090AGB6 Corrina St.
Kinn Canberra,Canberra,Food and drinks,"Kinn Thai restaurant
Simply and comfort
We are open for 7 days
Booking is essential please call 02 6247 1277 or email us canberra@kinnrestaurant.com.au","Shop FG03-04 125 Bunda street,"
HAPPY HUB CAFE,Phillip,Food and drinks,"Drop in to Happy Hub Café for a delicious cuppa and scrumptious meal or snack, all served up with a smile 😊",16 FURZER STREET
The Hospitality Shop,Canberra,Retail,"The Hospitality Shop is a family owned business that sell both retail kitchenware products and commercial products. With 10 years of experience and a product range of over 8000 lines we have something for everyone. We specialise in knives, cookware, coffee and barware and also offer knife sharpening","Shop 5, 21 Genge Street"
Lonsdale St Cyclery,Braddon,Retail,"As one of Canberra’s oldest bike stores, we know a thing or two about bikes.

Whether you are a hardcore rider, a weekend warrior, commuting into work, or hitting up the sidewalks with your family, we are here to make sure you get the best out of your cycling experience.",9/7 Lonsdale St Cyclery
Altina Drinks,Mitchell,Food and drinks,Altina Drinks is a Canberra alcohol free beverage manufacturing business producing delicious flavour driven drinks without the hangover and sugar coma. Our products are perfect for non drinkers and great wine alternatives as gifts and drinking options.,2/44 Hoskins Street
Hero sushi Tuggeranong Miki Sushi Woden,Tuggeranong,Food and drinks,Fresh sushi made daily on premises,shop G47 Southpoint Shopping centre
Pizza Artigiana,Macquarie,Food and drinks,Pizza Artigiana is a Traditional Neapolitan Style Pizzeria specialising in providing an authentic Italian experience with all our offerings from the food to the drinks.,"unit 2, 39-47 Bowman St"
Sharetea Woden,Phillip,Food and drinks,"We made delicious bubble tea, fruit tea, crushes, smoothies and so on, please come and have a try of it !","shop 053B, 8 bradley Street"
AKIKAMBARA,Greenway,Retail,"Akikambara is a family owned business that strives to provide a safe and friendly location for hobby groups to get together and play games( cards, figures, board games, DnD, and video games). With exclusive and exciting stock from Japan there is are many products to suit all people.",10/175 Anketell St
Canberra City Gymnastics Club,Belconnen,Things to do,"CCGC is Canberra's oldest gymnastics club. Offering programs for all ages and abilities, gymnastics is a sport for everybody. Our programs are designed to build confidence and challenge everyone, helping to build foundations for all sports.",85 Chandler St
Riddle Room,Mitchell,Things to do,"Riddle Room Canberra has signed up to be part of the ChooseCBR initiative. This means you can get a discount off our services if you have registered at choosecbr.act.gov.au

The steps for using the ChooseCBR voucher code with Riddle Room is as follows:
1. Book a session or buy a gift voucher through our website.
2. Pay the full value of the booking deposit/gift voucher.
3. Contact us on Facebook or email us at escape@riddleroom.com.au and provide us with your ChooseCBR voucher code.
4. Riddle Room will refund you the value of the Choose CBR voucher.

On the day of your booking, we can process the rest of the payments using the ChooseCBR vouchers discount if any of the other players have them.

We can also sell vouchers in-store with the ChooseCBR discount applied at the time of sale.

About Riddle Room:
Riddle Room is currently rated #1 escape room in Australia (Tripadvisor 2020). With 4 unique experiences to try, there is something for everyone!

Bookings are essential. Visit riddleroom.com.au for more information.",8/160 Lysaght Street Mitchell ACT
YumchaCBD,Canberra,Food and drinks,Live seafood and authentic Chinese Canto cuisine restaurant,32 West Row
Military Shop,Fyshwick,Retail,Military Shop is Australia’s first choice for military products – from Australian Defence Force uniform items to field gear and military collectibles. Military Shop has been trusted by members of the ADF and first responders for almost 30 years.,65 Kembla Street
Kmotion Dance Studio,Canberra,Things to do,"Kmotion Dance Studio is one of Canberra's longest running Latin Dance studios, and offers private and group lessons in a wide range of styles such as Salsa, Tango, Zouk & more!
They run friendly, inclusive socials in various styles, and are specialists in preparing couples for their Bridal dance.","First floor, 54 Northbourne Ave"
HEALTH FIRST CHINESE ACUPRESSURE MASSAGE,Gungahlin,Personal care,"We established in 2005,we offer traditional Chinese acupressure massage, deep tissue massage, relaxation massage and remedial massage service. Find out more about our service here.","SHOP 12D, 46-50HIBBERSON STREET, GUNGAHLIN VILLAGE"
Bewitched Flowers and Gifts,Kambah,Retail,"Florist, Clothing, Jewellery and Giftware Shop",Shop 4/3 Carleton Street
The coffee club Tuggernnong,Greenway,Food and drinks,"Our mission and philosophy is simple, at The Coffee Club we want to provide: Good Food, Great Service and Excellent Coffee, in welcoming, relaxing surrounds, a place to enrich contemporary lifestyles, and most of all, to be the natural response to “Where will I meet you?”","Shop K609, Anketell Street"
EasliyManaged Fitness Pty Ltd,Wanniassa,Personal care,"Curves is a gym specially designed for women with a complete 30-minute workout. We always have a coach on the circuit to assist in guidance and technique. In addition, we offer yoga, dance & cardio exercises that cater for all age groups and courses that focus on pelvic floor, balance, and stress.",25 Sangster Place
Smart Dollar,Phillip,Retail,"Smart Dollar is the best shopping destination for great variety of homewares including picture frames, candles, glass jars, etc.
Great selection of party range and craft supplies.
Never- missed the new toys trend.","Shop 1-67 Woden Westfield , level 2"
Dhaka café and Indian restaurant,Belconnen,Food and drinks,"Offering authentic Bangladeshi and Indian cuisine in the heart of Belconnen. This family owned business offers some of the best traditional dishes including a range of Biryanis, grilled chicken, subcontinental curries, flat bread baked in clay tandoor oven and a wide variety of Bangladeshi desserts.",6/66 Josephson Street
Nicholls IGA Supermarket,Nicholls,Retail,IGA supermarket,88 kelleway ave
BLU GINGER INDIAN RESTAURANT,Canberra,Food and drinks,"Blu Ginger is located in heart of CANBERRA CITY , Blu Ginger has opened the door in year 2000 , very popular among all the foodies,with high quality food and exceptional service. All meals are made fresh to order by our qualified team of chefs with high quality local and imported ingredients.
",2/5-21 GENEGE ST
HEY SHOW KARAOKE,City,Food and drinks,"We are located in the City Sydney Building with easily find parking.
We open 365 days a year.
12 Themed rooms and the largest room accommodate more than 30 patrons.
Brand new and the latest professional-level Karaoke systems and equipment.
Over 200,000 songs.",27 east row
Superfine Cafe,Canberra,Food and drinks,"Superfine Café is a family run Café in the heart of the City with friendly staff and a fantastic atmosphere! We offer the best Toby Estate Coffee in town. We have a selection of delicious toasties, breakfast cups, homemade treats and we offer daily specials. We make all of our food fresh daily.",Corner Mort and Bunda St Canberra City
ORITEA,Braddon,Food and drinks,"In the meanwhile, we will continue extending our reaches in community services as well as take on our social responsibility diligently and support our communities to achieve a healthier future.","Shop G06, 2 Batman Street"
Cafe Stepping Stone,Holt,Food and drinks,"Cafe Stepping Stone Canberra, established in 2020, is a work integration social enterprise cafe that provides quality training and employment for migrant and refugee women from cultural and linguistically diverse backgrounds through a sustainable kitchen located in Belconnen at Strathnairn Arts .",90 Stockdill Drive
Adore Tea,Nicholls,Food and drinks,"At Adore Tea, we love all things tea! With over 200 teas covering 11 different tea categories, Adore Tea is one of Australia’s largest speciality tea boutique companies. We first began sharing our love for tea in 2006 and are now a multi award winning tea company.","Federation Square, Shop 6/ 18 O'Hanlon Place"
Jasper and Myrtle Chocolates,Fyshwick,Food and drinks,"Jasper and Myrtle Chocolates is an award winning bean to bar chocolate maker in the Dairy Rd precinct, Fyshwick Canberra. Their chocolates are made from cacao beans personally sourced from Bougainville, PNG. Their range includes single origin dark chocolate bars and delicious, innovative flavours
","Unit 9, Building 3.1, 1Dairy Road"
La Piazza Cafe / Restaurant,Wanniassa,Food and drinks,"Enjoy a mix of traditional and modern Italian cuisine in a friendly, warm and welcoming environment. Open for lunch Thu and Fri and Dinner Mon to Sun (Dine In, Take Away and Home Delivery).","Unit 3, 33 Gartside Street"
Smart Dollar,Greenway,Retail,"You'll find at Smart Dollar include housewares, kitchen, cleaning, laundry, hardware, glass jar, souvenir, picture frame, canvas, storage, travel, health and beauty, toys, gift bags, party, stationery, craft supplies, seasonal décor, and so much more. Everything you need for every day!","Shop 1-190 South Point Tuggeranong, Cnr Anketell St & Reed St,"
Urban jungle CBR,O'Connor,Retail,"Urban Jungle is Canberra's very own indoor plant specialist.

Partnering with an avant-garde florist, Urban Jungle is the best place in town to get your green on!",1/7 sargood street
SHOOK,City,Food and drinks,A new generation of bubble tea,G01/39 London Circuit
Deeks Health Foods,Fyshwick,Food and drinks,Health Food Bakery specialising in Grain free and Gluten free food. We produce delicious quality food and deliver to businesses as well as individuals locally in Canberra and interstate.,"Unit 6, 56-58 Kembla Street"
SushiSushi Belconnen,Belconnen,Food and drinks,"Welcome to Sushi Sushi! We’re proud to have been welcoming customers to our stores since 1998, sharing fresh and great-tasting hand rolls, sashimi and deluxe items with Aussies and Kiwis!

Pop into your local store today and find out why everyone loves Sushi Sushi!","20 Benjamin Way, Westfield Belconnen"
Canberra Short Term & Holiday Accommodation,Griffith,Accommodation,Welcome to Canberra Short Term & Holiday Accommodation. We provide a great range of self-catering & self-contained budget units that are just minutes away from the city centre and an abundance of tourist attractions. Book with us today and enjoy 24 hour self-check-in and commission free prices!,47 McMillan Cres
Zambrero,Canberra,Food and drinks,"Zambrero is a Mexican restaurant, serving Mexican food differently!

Our menu is freshly-prepared, with a focus on modern, superfood ingredients, to bring new delicious flavours to the Mexican favourites you love.

Every burrito or bowl purchased means a meal donated to someone in need.",Block 2 Section 48 City Civic Centre Cnr East Row & Alinga Street
Chongqing street noodle,Dickson,Food and drinks,Authentic Chinese Sichuan style spicy noodle and food.,"Shop1,19 Woolley st"
The Basement Canberra,Belconnen,Food and drinks,"Chompy's makes some of the tastiest burgers in Canberra. We offer an excellent range of burgers to suit all dietary requirements including carnivore, pescatarian, vegan, vegetarian and gluten free. You can be assured our generous portions mean you won't leave Chompy's hungry.",2 Cohen Street
Kismet Turkish Gourmet,City,Food and drinks,Turkish cuisine,Shop5 /113-119 Marcus Clark street city west
Asian Noodle House Woden,Phillip,Food and drinks,Asian Curisine,6 Launceston Street
Kevin's Place Asian Restaurant,Holt,Food and drinks,Local family restaurant here to give you the best asian cuisine,"Shop 9, 118 Hardwick Crescent"
Silo Bakery,Kingston,Food and drinks,"With its Mediterranean feel, Silo Bakery has long been part of the Canberra scene, from their signature tarts to their freshly baked rustic bread and pastries. The all day menu caters to a wide range of tastes, vegan and vegetarian included.",36 Giles Street
La Casetta Pizzeria,Scullin,Food and drinks,"Welcome to La Casetta Pizzeria, Canberra’s newest pizza restaurant at Shop 5, 9 Scullin Place, Scullin.
We are family owned and operated, providing traditional Italian pizza for your next function or family occasion.",5/9 Scullin place
Fresco Seafood,Franklin,Food and drinks,"We offer premium fresh local fish, fresh local prawns, fresh local oysters as well as specializing in live seafood such as fish, lobsters, crab and abalones.

We also have a small cafe that cook you fresh fish and chips using only the premium seafood.","Shop 133 241 Flemington Rd, Ivy Apartments"
Canberra Day Spa,Canberra,Personal care,"Canberra Day Spa is Canberra’s most exclusive and recognised spa treatment facility. Located in the heart of the Canberra City, Canberra Day Spa invites you to invigorate your senses by enjoying the unique and peaceful ambience of this beautiful day spa.","Shop 6, 2 Akuna Street"
Books R Us & More,Greenway,Retail,"Books and Games, Largest range of Jigsaw Puzzles in Canberra,",Shop G31 Anketel
East Row Specialty Coffee,Canberra,Food and drinks,"New kid on the block of East Row!
Serving ONA coffee and delicious brunch!
We are open 7 Days a week
check out our Instagram and facebook for more info and pics!
Bookings available at https://cutt.ly/east-row-specialty-coffee
",U2 7 East Row
Asian Arts MAnuka,Griffith,Retail,"Oriental furniture, Japanese dinner ware, porcelain miniatures, home wares and gift items","Shop 5-6 Manuka Village, 18-26 Furneaux Street"
The Source Bulk Foods Belconnen,Belconnen,Retail,"Come and try waste free pantry shopping! With over 300 items in store we've got your pantry staples, nuts, chocolates, confectionary, and snacks covered. We also have a full range of personal and household cleaning products. Bring your own containers or use our paper bags. Go plastic free!",Shop 34 Westfield Belconnen
Trove Canberra,Dickson,Retail,"We are a co-operative of local Canberra-region artists and designers. Our shop in the inner north suburb of Dickson features beautiful, quality locally-handmade products. We're passionate about supporting small-scale local makers and 100% of sales go to the makers themselves.","Shop G4A, 25 Dickson Place"
Pivotal IT Solutions,Woden,Retail,"We sell and repair computer hardware, do software consulting and
customize system-building software.",Unit 1/27 Altree Court Philip
Mirtsch Brero Pty Ltd,Belconnen,Food and drinks,"We are about more than just delicious, Mexican inspired food made with healthy ingredients. We are a way to feel good inside, by helping in our mission to stop world hunger, one meal at a time.

We are Feel Good Mex.

","Zambrero Belconnen, Shop 5, 102 Emu Bank"
Sydney Rams Pty Ltd,Gungahlin,Retail,"Sydney Rams is a trusted brand selling Australian Made sheepskin and wool products, specialising in handcrafted ugg boots.",33 Hibberson St
B One Restaurant,Canberra,Food and drinks,"A restaurant for the people of Canberra, serving up Asian fusion food, great drinks in a vibrant venue. Open 7 days a week! ???",16 West Row
caffe cherry beans gungahlin,Gungahlin,Food and drinks,"Caffe cherry beans Gungahlin
",shop 29a 30 Hibberson Street
Majura Massage,Majura,Retail,"Enjoy our nice environment, high-quality massages and the best services here. Please just call 6257 8858 or book online: majuramassage.com.au",18-26 Spitfire Ave
canberra school of dancing,Weston Creek,Personal care,"The Canberra School of Dancing offers dance tuition in the Latin, Ballroom and New Vogue dance styles for children from the age of 6 years right through to the more mature-aged adult. The school caters for those wanting to dance either socially or competitively and offers a variety of group class","Uniting Church, 16 Parkinson st"
Revelation Puzzle Rooms,Fyshwick,Things to do,"Revelation Puzzle Rooms is Canberra's only 5 star rated escape room! Experience challenging puzzles, explore a deep narrative and have a load of fun in this wonderful group activity. To top it off, receive a custom enamel pin and a free drink when you finish your game!",8/151-155 Gladstone Street
Hero Sushi Constitution Place,Canberra,Food and drinks,"Hero Sushi Constitution Place as a kiosk store selling a variety of fresh sushi rolls, nigiri sushi, sushi boxes and salad. Freshly made in store, every day, ensures every meal retains its flavour and goodness. Please enjoy at Hero Sushi Constitution place.","RT -06 Constitution Place, 220 London circuit"
Utopia Vegan,Dickson,Food and drinks,Vegan Restaurant promoting vegan diet to encourage more people having more vegan food with affordable price to decrease the suffering of our animal friends,Unit 5 / 28 Challis Street
Gelca Pty Ltd,Gungahlin,Personal care,"Just Cuts is a no appointment hairdressing salon offering STYLE CUTS for everyone. Our stylists are all fully qualified, we offer a seven day guarantee and we have our own professional styling products.",30-33 Hibberson Street
PappaRich Canberra,Canberra,Food and drinks,PappaRich is a chain of popular restaurants from Malaysia which aim to serve authentic Malaysian delights in Canberra.,FG13B/148 Bunda Street
Trilogy Skateboards,Braddon,Retail,"Trilogy Skateboards is a local family owned business and the only skateboard store for Canberra and the surrounding region. We stock the biggest range of skateboards and accessories, from beginner to professional. Our store is also now online so you can browse from home. Come visit us in Braddon!",G16/27 Lonsdale Street
Hongtao Gao,Gungahlin,Retail,"My business focuses on mobile phones and iPads repairs. From April, my business became quieter and quieter. I hope the ChooseCBR can help me somehow.",121A Anthony Rolfe Avenue
Lys Nails,Kingston,Things to do,"Taking care of people’s nails.
Waxing and tinting.
Creating fake nails.",1/1 Jardine St
Tune BikeWorks,Dickson,Retail,"Tune BikeWorks is a professional bicycle repair workshop and parts and accessories outlet located in the inner north centre of Dickson Shops.
We offer a huge range of bicycle related items and are happy to answer all your cycling questions along the way.","Shop 2, 4/20 Dickson Place"
Cafe Childers,Acton,Food and drinks,Cafe & Asian style,"Shop 4, 35 Childers Street"
The Bank Indoor Skate Park,Fyshwick,Things to do,"We are Canberra's very own indoor skate park, We are also one of the largest dedicated scooter shops in the country. So for a ride or a new ride come see the team at The Bank.",3/86 Townsville St
EasyWay Belconnen,Belconnen,Food and drinks,"Bubble Tea Shop. Serving bubble tea, shake, smoothie and frappe.",K316 Level 3 Food Court Westfield
6th Position,Canberra,Things to do,"6th Position is the Canberra dance school for adults, regardless of whether you are a new, continuing or returning dancer. We provide an adult-friendly environment to explore or push your boundaries through dance.",83 Petrie Plaza
Tasty Fish,Belconnen,Food and drinks,"Tasty Fish Market sources delicious and fresh produce directly from Sydney fish Market including fresh Salmon, Tuna, Snapper, Barramundi, Kingfish, Ling fish, Blue Swimmer crabs, cooked prawns, green prawns and Oysters (shucking on site). They also serve hot food and takeaway fish & chips.","20 Benjamin Way, Westfield Belconnen"
Belluci's Woden,Phillip,Food and drinks,Italian restaurant in canberra,4 Irving Street
Capital Chemist Palmerston,Palmerston,Retail,"At Capital Chemist Palmerston, we are committed to provide expert advice and quality services in professional and friendly manner. We provide a variety of health care services including medications, vaccinations, testing blood pressure, blood glucose level, cholesterol level, MyDNA,...",Shop 6/ 2 Tiptree Crescent
On The Grind Canberra cafe,Kambah,Food and drinks,"Your local suburban coffee shop. Specialising in quick coffee for on the run, friendly service & easy grab n go food options",5/9 Jenke cct
panda crepes pty ltd,Belconnen,Food and drinks,we are a small street food business which just opens before the covid starts and trying our best to survive in this special hard time. we making traditional and authentic Chinese street food and hand-made fresh sweets and cakes. more than welcome to support our small business and make friends.,"Benjamin Way, westfield"
Timmy's Kitchen,Griffith,Food and drinks,Chinese and Malaysian cuisine in Manuka has never tasted better!,Unit 1 'Manuka Village' 18-26 Furneaux St
Crafty Frog,Kambah,Retail,"Established in 1999 Crafty Frog is a much loved destination for Crafters of all ages and abilities. Catering for Knitters, Crocheters, Embroiderers, Spinners, Weavers. Our newest addition is Patchwork/Quilting fabrics and notions. Friendly service, free parking at the front door.",Shop 4/107 Marconi Crescent
CAFE @ BELCO,Belconnen,Food and drinks,"Trishuli Pty Ltd t/a Cafe @ Belco, Where the day begins!!",2/21 Benjamin Way
Kitchen Garden At Rodneys + Pialligo Food Emporium,Pialligo,Food and drinks,"Kitchen Garden At Rodney's is located in the beautiful grounds of Rodney's Nursery. The cafe serves an all day menu which inspired by the seasons and we have recently opened a Providore. Come and browse our beautiful range of cheese, cured meats, deli items, sauces, condiments and gifts.",24 Beltana Rd
Bentham St Bar& Pizza,Yarralumla,Food and drinks,Bentham Street Bar and Pizza is a licenced restaurant offering gourmet pizza and authentic tapas. We offer a high standard of service for dining in or takeaway. Open 6 nights a week. Bookings are recommended as we have a limited capacity and Covid19 restrictions are strictly adhered to.,2/29 Bentham Street
Thai Chiang Rai Belconnen,Belconnen,Food and drinks,"Thai Chiang Rai Belconnen Serving Canberrans and Visitors since 2000
Great Food, Great Views, Great Atmosphere, Great Service Always",102 Emu Bank
Carlee Childrens Wear,Nicholls,Retail,"Baby & Children's Boutique

Clothing | Accessories | Special Occasion | Christening | Gifts | Bedding | Toys
","Shop 8, 18 O'Hanlon Place"
The Mawson Club,Mawson,Food and drinks,"The Mawson Club is a not for profit, family and community focused Club that is proudly part of the Raiders group of clubs across the ACT and NSW.

The Club’s staff take great pride in providing excellent customer service and will go out of their way to make each visit a memorable experience.",10 HEARD ST
Donut King Gungahlin,Gungahlin,Food and drinks,Locates in front of Coles Gungahlin. We offer the freshest donuts every day.,"kiosk 1, Gungahlin Village"
The Muesli Bar,Fyshwick,Retail,Manufactures muesli and granola fresh each week using as many locally sourced ingredients as possible. Caters for all dietary requirements and tastes.,5/64 Wollongong Street
CHILADA/ VR Canberra,Canberra Airport,Retail,"CHILADA / VR Canberra

Chilada is a unique one stop shop children's store stocking a range of school uniforms, clothing, shoes, toys & gifts.
VRCanberra: Virtual Reality games and rides – Canberra’s first ! Perfect for school holiday program ,school excursion,birthday parties, family & friend gatherings.

🏠Chilada Airport—Majura park shopping centre
Tel : 02 6262 7887
🏠Chilada Gungahlin-shop G2/48 Gungahlin place , Anthony Rolfe Avenue,ACT 2912
Tel: 02 6242 4190
🏡 VR Canberra -83-101 lysaght street
Mitchell Tel: 02 6262 2160
Friday 4-8pm, Sat 9-5pm, Sun 10-4pm
School Holiday: Mon-Fri 12-5Pm Sat 9-5pm Sun 10-4pm","shop 19, MAJURA PARK SHOPPING CENTRE, 18-26 SPITFIRE AVENUE"
The tongdak,Gungahlin,Food and drinks,"Korean fried chicken and cuisine
12-3pm Lunch special $15",Shop23a the marketplace
Here Collective,Downer,Retail,"A beautiful space to slow down, to look after your brain and body and join a community of like-minded humans. Find us in Downer for yoga, pilates, psychology, physiotherapy and massage. Be slow, be mindful, be here.","Shop 3, 2 Frencham Pl"
